room_price,room_commonFee,room_initialFeeText,room_initialOtherFeeText,building_year,room_layoutText,room_facing,room_area,room_detailText,building_structure,room_parking,room_tatalRooms,room_contract,room_period,room_renewalFeeText,room_otherFeeText,room_guarantyText,room_insuranceText,room_manage,room_state,room_move-in,room_lifullID,room_trans,room_begin,room_update,room_url
10.2万円,"3,000円",1ヶ月/1ヶ月,-/-,2016年10月(築8年),"1DK ( ダイニングキッチン 7.3帖
洋室 4.3帖 )",南西,29.15㎡,角部屋、楽器不可、事務所不可、二人入居不可、単身者限定、ルームシェア不可、IHコンロ、コンロ二口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、浴室乾燥機、洗面所独立、オートバス、オートロック、TVモニタ付インターホン、エアコン、クローゼット、CS対応、BS対応、インターネット対応、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、宅配ボックス、駐輪場あり、住まい探し特典あり、オンライン内見対応可　オーナー様から、直接、ご依頼を受けた物件です。お電話頂けると、お話が早く進みます。Bフレッツ導入済　バイク・石油系暖房器具不可,鉄骨造,無,-,-,2年間,新賃料の1ヶ月分,-,加入要保証会社：エルズサポート保証会社利用料：　エルズサポート：初回保証委託料として賃料等の50％・更新委託料として10，000円／年,要,-,賃貸中,2024年05月 上旬,0127175-0083968,一般媒介★,2024/03/19,2024/03/21,https://www.homes.co.jp/chintai/room/4aa8506d1b2bd29b37f6bf2191bb240609889f21/
10.15万円,"15,000円",1ヶ月/1ヶ月,-/-,2016年9月(築8年),"1K ( 洋室 6.9帖
キッチン 2帖 )",西,25.11㎡,二人入居可、ペット相談、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、CS対応、BS対応、公営水道、プロパンガス、下水、フローリング、室内洗濯機置場、タイル貼り、エレベーター、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、デザイナーズ、住まい探し特典あり、ぜひ一度見ていただきたい、「ハーモニーレジデンス神楽坂」です。歩いて371mの場所に、マルエツ　江戸川橋店があります。浴室乾燥機が付いているので、浴室乾燥機をつけて湿気を除去すればカビの発生を予防できます。文京区エリアと有楽町線江戸川橋付近のお部屋探しなら当社へ。あなたからのお問い合せをスタッフ一同お待ちしております。,RC(鉄筋コンクリート),-,-,-,2年間,新賃料の1.5ヶ月分,-,加入要保証会社利用料：　保証会社必須～50％（最低保証料5万円）,要,-,居住中,相談,0137113-0024973,仲介,2024/03/20,2024/03/20,https://www.homes.co.jp/chintai/room/c8746411c6e98e2b427033b384cb2e1392ab6dd4/
10.15万円,"15,000円",1ヶ月/1ヶ月,-/1ヶ月,2016年9月(築8年),1K,西,25.1㎡,角部屋、二人入居可、ペット相談、ルームシェア可、保証人不要、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、セキュリティ会社加入済、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、CS対応、BS対応、インターネット対応、プロパンガス、フローリング、バルコニー、室内洗濯機置場、24時間換気システム、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、駐輪場あり、初期費用カード決済可、分譲賃貸、口座振替手数料/月:660円 ペット飼育時共益費3500円追加※犬・猫いずれか1匹（小型犬50cm以下、10kg以下）短期解約違約金：1年未満の解約時、総賃料の2か月分、1年以上2年未満の時、総賃料の1か月分,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1.5ヶ月分,"鍵交換費用：22,000円、室内清掃費用：55,000円、入居中サポート：21,450円、室内抗菌処理代：17,600円、事務手数料：11,000円",加入要保証会社：その他保証会社利用料：初回保証料:総賃料の50％ 最低保証料50、000円（緊急連絡先）、総賃料の30％ 30、000円（保証人）、更新料:10、000円/年、シノケン保証,要,管理員：巡回,居住中,2024年05月 中旬,0131488-0088159,仲介,2024/03/14,2024/03/20,https://www.homes.co.jp/chintai/room/db1aca58eafd434598b39836b83f7a80ea81400b/
8.9万円,"3,000円",1ヶ月/1ヶ月,-/-,2018年5月(築6年),"1K ( 洋室 7.3帖(1階)
キッチン 2帖(1階) )",西,21.87㎡,ガスコンロ設置済、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、光ファイバー、インターネット使用料無料、都市ガス、下水、フローリング、室内洗濯機置場、駐輪場あり、初期費用カード決済可、★お部屋探しはCLCコーポレーションにお任せください☆,木造,-,-,-,2年間,-,-,加入要保証会社利用料：初回時、総賃料50％　1万円/年,要,-,居住中,相談,0108926-0107620,一般媒介,2024/03/12,2024/03/20,https://www.homes.co.jp/chintai/room/6b8f1858f5b50389ce53eef0def8c65a54a28a0b/
10万円,"12,000円",1ヶ月/1ヶ月,-/-,2015年12月(築9年),ワンルーム ( 洋室 7.3帖 ),南東,26.6㎡,楽器不可、事務所不可、ペット相談、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、温水洗浄便座、浴室乾燥機、オートロック、エアコン、ウォークインクローゼット、クローゼット、シューズボックス、インターネット対応、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、室内洗濯機置場、宅配ボックス、デザイナーズ、住まい探し特典あり、解約予告2ヶ月前　ペット：小型犬または猫1匹まで　飼育時は敷金プラス1ヶ月,RC(鉄筋コンクリート),空無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：38,500円、プレミアデスク：16,500円、害虫バリア：16,500円",加入要保証会社利用料：　？月額総賃料の50％／月次保証料、月額総賃料の1．5％　 ？月額総賃料の50％／年間保証料10，000円／引落手数料550円（税込）,要,-,居住中,2024年04月 下旬,0132062-0271221,仲介,2024/03/09,2024/03/20,https://www.homes.co.jp/chintai/room/57cc8bdff672e4508c92aeabeef256cf5913d457/
13.8万円,"5,000円",1ヶ月/1ヶ月,-/-,2024年2月(新築),1LDK,-,43.47㎡,角部屋、二人入居可、即入居可、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用トイレ、バス・トイレ別、追焚機能、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、TVモニタ付インターホン、エアコン、床下収納、都市ガス、メゾネット、フローリング、専用庭、洗濯機置場あり、照明器具付き、宅配ボックス、住まい探し特典あり,木造,-,2戸,-,2年間,-,"契約事務手数料：22,000円",加入要保証会社利用料：　保証人あり：総賃料の80％　継続保証料：12，000円／年　保証人なし：総賃料の100％　継続保証料：12，000円／年,要,-,-,即時,3701129-0320897,仲介,2024/02/16,2024/03/20,https://www.homes.co.jp/chintai/room/4d29babef284a820b8f6646e7406bfe83e1b28e2/
12.9万円,"12,000円",1ヶ月/無,-/-,2023年1月(築2年),"1DK ( ダイニングキッチン 6.5帖
洋室 3.2帖 )",南西,25.57㎡,角部屋、ペット相談、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、ディンプルキー、エアコン、クローゼット、シューズボックス、CS対応、BS対応、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、当物件は■仲介手数料【0円】でご紹介いたします。■「高級賃貸」に精通した専門スタッフがご対応いたします。■現地、又は最寄り駅「お待合わせ」にてご案内いたします。■初期費用（全額、又は一部）の分割払いを、喜んでお受けいたします。（クレジットカード、入居ローン、など）■ペット飼育時、敷金積み増し1ヶ月/ルームクリーニング費用借主負担（退去時）/短期解約時、違約金が発生する場合がございます。,RC(鉄筋コンクリート),空無,129戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円",加入要保証会社：貸主指定会社保証会社利用料：月額賃料等の50％（初回保証料）と月額賃料等の1％/月（更新料無）,要,管理員：巡回,空家,2024年04月 中旬,0139205-0049466,仲介,2024/03/15,2024/03/17,https://www.homes.co.jp/chintai/room/cff33376cd4fca5b27650395d199119240b3b205/
11.2万円,"10,000円",無/無,-/-,2021年3月(築4年),1DK,北西,26.75㎡,角部屋、楽器不可、ペット相談、保証人要、IHコンロ、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、温水洗浄便座、浴室乾燥機、オートロック、防犯カメラ、TVモニタ付インターホン、ディンプルキー、エアコン、シューズボックス、CS対応、BS対応、光ファイバー、インターネット使用料無料、都市ガス、フローリング、室内洗濯機置場、全室フローリング、宅配ボックス、住まい探し特典あり、インターネット無料（ラストワンマイル）スーパー・コンビニ至近。商業施設充実徒歩1分都営バス停有敷金礼金ゼロ（保証会社必須、短期解約違約金あり）,RC(鉄筋コンクリート),無,10戸,-,2年間,新賃料の1ヶ月分,"鍵発行手数料：16,500円",加入要保証会社：レジデンシャルサービス保証会社利用料：【収納代行】初回保証料賃料等総額の50％（連保無）、30％（連保有）、以後以後1年毎25％　月々口座,要,-,空家,2024年04月 上旬,0100459-0156596,仲介,2024/03/14,2024/03/20,https://www.homes.co.jp/chintai/room/a462c6e457c13b544dd4a5517b7bf4a87dbb9b6f/
11.7万円,"15,000円",無/1ヶ月,-/-,2021年1月(築4年),"1K ( キッチン 2.5帖
洋室 7.3帖 )",西,25.04㎡,保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、全居室収納、クローゼット、シューズボックス、CS対応、BS対応、光ファイバー、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、24時間換気システム、複層ガラス・複層サッシ、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、駐輪場あり、家賃・初期費用カード決済可、デザイナーズ、住まい探し特典あり、■都心部でのお部屋探しは賃貸専門店の【 御茶ノ水不動産スーペリアホーム 】にお任せ下さい。当社掲未掲載の他社様公開物件も含め、まとめてご案内を承っております。『オンライン内見』『社用車でのご案内』『現地でのお待合わせ』など、お客様のご都合に合わせて臨機応変に対応をさせていただいておりますのでお気軽にお問合せ、ご相談くださいませ。,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,-,利用可保証会社：その他保証会社利用料：詳細はお問い合わせください。,要,管理員：巡回,居住中,2024年04月 下旬,0132508-0091936,一般媒介,2024/01/27,2024/03/20,https://www.homes.co.jp/chintai/room/382fe0883ad30f95e4ddc9bc1b9d4c5c281bbfb9/
11.7万円,"15,000円",無/1ヶ月,-/-,2021年3月(築4年),1K ( 洋室 7.3帖 ),西,25.04㎡,角部屋、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、浴室暖房、オートロック、防犯カメラ、TVモニタ付インターホン、ディンプルキー、エアコン、クローゼット、シューズボックス、CS対応、BS対応、光ファイバー、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、24時間換気システム、全室フローリング、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、住まい探し特典あり,RC(鉄筋コンクリート),"近隣 44,000円(税込) 物件からの距離400m",-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円、Goodプレミアムα：12,100円、goodプレミアム登録料α：2,200円",加入要保証会社：オリコフォレントインシュア保証会社利用料：初回保証証　総賃料等の40％、月額1％,要,-,居住中,2024年04月 下旬,0147374-0028094,仲介,2024/03/01,2024/03/20,https://www.homes.co.jp/chintai/room/1aa52df2b4d66653583cb8e967578fc4f2b3855f/
9.7万円,"6,000円",1ヶ月/1ヶ月,-/-,2018年3月(築7年),"1K ( キッチン 2.4帖
洋室 8.4帖 )",南東,30.42㎡,角部屋、楽器不可、ペット不可、保証人不要、ガスコンロ設置済、コンロ二口、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、浴室暖房、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、ウォークインクローゼット、BS対応、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、室内洗濯物干し、複層ガラス・複層サッシ、エレベーター、宅配ボックス、駐輪場あり、初期費用カード決済可、施工会社：積水ハウス株式会社シャーメゾンライフＳＵＰＰＯＲＴ24（月額880円税込）へ別途加入要／諸費用及び、契約に要する費用は別途打合せ／※家具や車等は配置のイメージで賃貸物件に付属しておりません（家具家電付等の表示があるものを除く）。,鉄骨造,無,12戸,-,24ヶ月間,新賃料の1ヶ月分,"仲介手数料：106,700円、鍵交換費用：12,100円、室内清掃費用：48,950円、シャーメゾンライフＳＵＰＰＯＲＴ24月額：880円",加入要保証会社：積水ハウス不動産パートナーズ保証会社利用料：【個人契約】初回契約事務手数料：33，000円（税込）、月額保証料：賃料等の2％,要,-,居住中,2024年04月 下旬,3703441-0002508,一般媒介★,2024/03/20,2024/03/20,https://www.homes.co.jp/chintai/room/547f2842326b697ba0d742eda4fffb7a35775b6d/
9.4万円,"8,000円",1ヶ月/1ヶ月,-/-,2018年6月(築6年),1K ( 洋室 7.6帖 ),西,25.31㎡,角部屋、楽器不可、二人入居不可、ペット不可、ルームシェア不可、保証人不要、即入居可、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、全居室収納、クローゼット、シューズボックス、インターネット対応、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、照明器具付き、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、耐震構造、駐輪場あり、初期費用カード決済可、分譲賃貸、住まい探し特典あり、お問い合わせは上野駅徒歩1分のアップスタイル上野駅前店まで☆水曜日も元気に営業☆初めての一人暮らしから法人契約まで幅広くご対応致します♪初期費用分割・クレジット決済可能！仲介手数料（賃料の1.1ヶ月分）から50％OFF(CPIDAA),RC(鉄筋コンクリート),-,-,-,-,新賃料の1ヶ月分,"仲介手数料：51,700円、鍵交換費用：26,400円、24時間安心サポート：16,500円",加入要保証会社利用料：　月額総賃料の40％要。,要,管理員：巡回,空家,即時,0111440-0143901,仲介,2024/03/14,2024/03/16,https://www.homes.co.jp/chintai/room/d5b24a81c0f6922653fa23338a1f54b21c790192/
8.3万円,"8,000円",無/無,-/-,2018年5月(築6年),ワンルーム ( 洋室 8.3帖 ),-,20.16㎡,角部屋、IHコンロ、コンロ一口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、シャワー付洗面化粧台、温水洗浄便座、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、シューズボックス、インターネット対応、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、室内洗濯機置場、照明器具付き、宅配ボックス、駐輪場あり、収納はシューズボックス・玄関収納など豊富なので、広々と空間を利用することも可能です。独立洗面台なので床が水で濡れたり鏡が曇ったりしにくく、清潔な状態を保ちやすくなっております。留守中に注文した商品が届くので、配送時間を気にせず注文ができる宅配ボックスを共用部に備えております。セキュリティ面は、オートロック・TVインターホンなど充実しているので、防犯対策もばっちりです。駐輪場付きの物件です。,RC(鉄筋コンクリート),-,-,-,2年間,新賃料の1ヶ月分,-,加入要保証会社利用料：詳細はお問い合わせください。,要,-,居住中,2024年03月 下旬,0146306-0002080,仲介,2024/03/01,2024/03/20,https://www.homes.co.jp/chintai/room/7000e3c180c13f22ea2a1e4950b9fdf5ee012176/
8.3万円,"6,000円",無/無,-/-,2018年5月(築6年),ワンルーム ( 洋室 8.3帖 ),西,20.16㎡,ペット不可、保証人不要、即入居可、IHコンロ、給湯、専用バス、バス・トイレ別、シャワー、シャワー付洗面化粧台、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、シューズボックス、インターネット対応、インターネット使用料無料、都市ガス、フローリング、バルコニー、24時間換気システム、全室フローリング、タイル貼り、ごみ出し24時間OK、全室2面採光、住まい探し特典あり、オンライン相談可能・契約時もオンライン・郵送での非接触対応可能です。,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：26,500円、メンテナンス費用：89,000円",加入要保証会社：その他保証会社利用料：40%／総賃料の40%～,要,管理員：巡回,空家,即時,0105441-0170934,仲介,2024/03/01,2024/03/20,https://www.homes.co.jp/chintai/room/a1ec7d068bee7068db1e66f9b0e88400a1678819/
13.1万円,"15,000円",1ヶ月/無,-/-,2022年3月(築3年),1DK,西,25㎡,二人入居可、ペット可、フリーレント1ヶ月、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、床暖房、ウォークインクローゼット、クローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、照明器具付き、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、耐震構造、駐輪場あり、住まい探し特典あり、３０分以内のご返信を心掛けて出来る限りお待たせすることなく、お客様にとってストレスフリーな手続き進行、ご提案を行わせていただきます。手続き開始後のケアもしっかりと行わせていただきます。都弊社はサービス向上の一環として30分以内のご返信を心掛けております。改善点などお気軽にご相談下さい。,RC(鉄筋コンクリート),-,-,-,2年間,-,口座振替事務手数料（毎月：110円,加入要保証会社利用料：詳細はお問合せください,要,管理員：日勤,空家,2024年05月 上旬,0133711-0074162,仲介,2024/03/09,2024/03/18,https://www.homes.co.jp/chintai/room/d056e807e4a3edec273dc51974cbedfaeb46a58c/
13.1万円,"15,000円",1ヶ月/無,-/-,2022年3月(築3年),"1K ( ダイニングキッチン 7.3帖
洋室 2.2帖 )",西,25㎡,ペット相談、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、TV付浴室、オートロック、TVモニタ付インターホン、エアコン、床暖房、ウォークインクローゼット、クローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、バルコニー、室内洗濯機置場、エレベーター、宅配ボックス、駐輪場あり、住まい探し特典あり、口座振替事務手数料110円(月額)　セキュリティ面は、TVインターホン・オートロックなど充実しているので、防犯対策もばっちりです。荷物が受け取れないときに一時的に保管できる宅配ボックスは、一人暮らしの方や在宅勤務の方向きの設備です。室内設備は浴室乾燥機・洗面化粧台などが揃っているので、快適に過ごしやすいお部屋になります。収納はウォークインクロゼット・シューズボックスなどが備え付けられているので、衣類や日,RC(鉄筋コンクリート),-,-,-,2年間,-,"鍵交換費用：22,000円、室内清掃費用：41,800円",加入要保証会社利用料：　初回保証委託料（最低15，000円）：月額賃料等の50％、2年目以降：10，000円／年,要,-,居住中,2024年05月 上旬,0121222-0186112,仲介,2024/03/10,2024/03/20,https://www.homes.co.jp/chintai/room/5786392fd8a941ddb235fa55d88cff97f78b8830/
21.3万円,"20,000円",1ヶ月/無,-/-,2022年3月(築3年),"2LDK ( リビングダイニングキッチン 10帖
洋室 4.3帖
洋室 3帖 )",東,40.07㎡,二人入居可、ペット可、家賃保証付き、保証人不要、即入居可、ガスコンロ設置済、コンロ三口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、オートロック、TVモニタ付インターホン、エアコン、床暖房、クローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、アーバネックス小石川春日は東京都文京区春日1丁目に所在し、東京メトロ南北線の後楽園駅が利用できる賃貸物件です。ペット飼育が相談可能！二人入居にもお勧めな2LDKタイプのお部屋です！当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。違約金有：1年未満解約時、賃料1ヶ月分,RC(鉄筋コンクリート),空無 空き状況についてはご確認ください。,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円、口座振替事務手数料（月額）：110円",加入要保証会社利用料：初回保証料：月額賃料等の50％～2年目以降：10000円/年,要,管理員：日勤,空家,即時,0138199-0019849,仲介,2024/03/14,2024/03/20,https://www.homes.co.jp/chintai/room/39852047593eba81ddb125c827e1a05713b7c090/
13.3万円,"10,000円",1ヶ月/無,-/-,2021年9月(築3年),1DK,南,25.48㎡,家賃保証付き、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、ウォークインクローゼット、クローゼット、シューズボックス、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、南面バルコニー、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、デュオフラッツ飯田橋WESTは東京都文京区水道1丁目に所在し、ＪＲ総武線の飯田橋駅が利用できる賃貸物件です。当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。退去時クリーニング費用は借主負担となります。違約金有：短期解約違約金有,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：11,000円",加入要保証会社利用料：初回：月額総家賃の50％～、以降：1万円／年,要,-,居住中,2024年04月 上旬,0138199-0019785,仲介,2024/03/11,2024/03/20,https://www.homes.co.jp/chintai/room/6f8a2888885df4d2765690c7f96b2d935ee13095/
